source,target
translate ASL to English: REPORT HE HAVE,He has no time to finish his report.
translate ASL to English: MUMMY YOU NEED,"What do you need this for, mummy?"
translate ASL to English: BASKETBALL HE LIKE,He likes to play basketball.
translate ASL to English: WISH HE HAVE,He has no wish to study.
translate ASL to English: BEACH I LIKE,From time to time I like to go to the beach.
translate ASL to English: BREEDS YOU NAME,How many dog breeds can you name?
translate ASL to English: OWNERS YOU KNOW,How many dog owners do you know?
translate ASL to English: DOG WE WANT,"We want to get a dog eventually, but not right now."
translate ASL to English: DOG FAMILY HAVE,Tom's family had a dog and a cat.
translate ASL to English: DOG WE WANT,We want a male dog.
translate ASL to English: DOG SEEM,Tom's dog seems fine.
translate ASL to English: DOG SEEM,Tom's dog seemed fine.
translate ASL to English: DOG TOM HAVE,Tom had never had a dog before.
translate ASL to English: DOG I LIKE,I really like this dog.
translate ASL to English: PEOPLE INJURE,How many people were injured?
translate ASL to English: CINEMA I LIKE,I like to go to the cinema.
translate ASL to English: CHAIR HAVE,This chair has to be fixed.
translate ASL to English: THAT TOM NEED,Tom needs to do that right now.
translate ASL to English: DOCTOR TOM GO,Tom and Mary go to the same doctor.
translate ASL to English: YOU WANT,Where did you want to go last summer?
translate ASL to English: YOU I WANT,I want to help you all.
translate ASL to English: FRIENDS HE HAVE,He has no friends to play with.
translate ASL to English: DINNER YOU LIKE,What would you like to have for dinner?
translate ASL to English: HE GO,He'll go.
translate ASL to English: HE HELP,He'll help.
translate ASL to English: HE COOK,He can cook.
translate ASL to English: HE HELP,He can help.
translate ASL to English: HE CHANGE,He'll change.
translate ASL to English: HE COOK,He'll cook.
translate ASL to English: HE WORK,He'll work.
translate ASL to English: HE HAVE,He has to go.
translate ASL to English: SON HE HAVE,He had a son.
translate ASL to English: COW HE HAVE,He has a cow.
translate ASL to English: HE HAVE,He had to go.
translate ASL to English: HE DANCE,He'll dance.
translate ASL to English: IT HE HAVE,He has it all.
translate ASL to English: IT HE HAVE,He has it now.
translate ASL to English: HE DECIDE,He'll decide.
translate ASL to English: HE CHANGE,He can change.
translate ASL to English: IT HE DO,He did it all.
translate ASL to English: FINE HE DO,He'll do fine.
translate ASL to English: IT HE NEED,He'll need it.
translate ASL to English: FAMILY HE HAVE,He has a family.
translate ASL to English: IT HE DO,He does it all.
translate ASL to English: HE GO,He must go now.
translate ASL to English: IT HE ENJOY,He'll enjoy it.
translate ASL to English: HE HAVE,He has to go now.
translate ASL to English: IT HE DO,He did it wrong.
translate ASL to English: SAME HE DO,He did the same.
translate ASL to English: WORK HE DO,He did the work.
translate ASL to English: IT HAVE,He had it right.
translate ASL to English: IT HAVE,He had it wrong.
translate ASL to English: HE EAT,He'll eat later.
translate ASL to English: THAT HE LIKE,He'll like that.
translate ASL to English: THIS HE LIKE,He'll like this.
translate ASL to English: HELP HE NEED,He'll need help.
translate ASL to English: THAT HE NEED,He'll need that.
translate ASL to English: THIS HE NEED,He'll need this.
translate ASL to English: IT HE DO,He can do it all.
translate ASL to English: HE EAT,He can't eat now.
translate ASL to English: FAMILY HE HAVE,He had no family.
translate ASL to English: HE HAVE,He has to be full.
translate ASL to English: WORK SHE HAVE,She had an accident at work.
translate ASL to English: YEAR THIS HAPPEN,This happened at the end of the school year.
translate ASL to English: WHAT YOU WANT,"What do you want, cat?"
translate ASL to English: WHO SHE WORK,Who does she work with?
translate ASL to English: LANGUAGE THEY SPEAK,What language do they speak?
translate ASL to English: TIME CHANGE TAKE,Change takes time.
translate ASL to English: ALL CHANGE,Has that all changed?
translate ASL to English: THAT NEED,That needs to change.
translate ASL to English: THIS CHANGE,This has all changed.
translate ASL to English: TIME CHANGE TAKE,Real change takes time.
translate ASL to English: THAT HAVE,That'll have to change.
translate ASL to English: CHANGE THEY WANT,They don't want change.
translate ASL to English: I COME,"All right, I'll come."
translate ASL to English: THAT MANY DO,Many of us do that.
translate ASL to English: THAT PEOPLE DO,Many people do that.
translate ASL to English: PEOPLE SAY,Many people said no.
translate ASL to English: WE GO,We'd better not go now.
translate ASL to English: THAT MARY GO,Does Tom go to the same school that Mary does?
translate ASL to English: YEAR OLIVES HARVEST,What time of year are olives harvested?
translate ASL to English: SCHOOL MARY GO,Does Tom go to the same school Mary does?
translate ASL to English: WHAT RESOLVE,What was resolved?
translate ASL to English: THAT CANADIANS DO,Many Canadians do that.
translate ASL to English: STORY I TELL,I'll tell you that story right now.
translate ASL to English: HELP I WANT,I don't want help.
translate ASL to English: THAT CANADIANS DO,Not many Canadians do that.
translate ASL to English: THAT YOU DO,What did you do the year before that?
translate ASL to English: FADO WHO BE,There are many people who like fado.
translate ASL to English: HELP TOM WANT,Tom doesn't want help.
translate ASL to English: US YOU WANT,Do you want to help us?
translate ASL to English: DOG MARY HAVE,Mary has a dog.
translate ASL to English: HER HE WANT,He doesn't want to go to the dance with her.
translate ASL to English: HIM SHE WANT,She doesn't want to go to the dance with him.
translate ASL to English: THAT THEY ENJOY,I enjoy the work that they do.
translate ASL to English: WHAT HE TELL,He'll tell her what to do.
translate ASL to English: WHAT SHE TELL,She'll tell him what to do.
translate ASL to English: HER HE NEED,He'll need to tell her sooner or later.
translate ASL to English: HIM SHE NEED,She'll need to tell him sooner or later.
translate ASL to English: SCHOOL TOM FOUND,Tom has founded a language school.
translate ASL to English: WHAT HE WANT,What does he want to do tomorrow?
translate ASL to English: LUNCH HE EAT,What does he eat for lunch?
translate ASL to English: HIM THAT HAVE,What does that have to do with him?
translate ASL to English: HER THAT HAVE,What does that have to do with her?
translate ASL to English: SCHOOL WE ATTEND,We attended the same school.
translate ASL to English: YOU I WANT,I want to go bowling with you.
translate ASL to English: 'S LET,Let's not meet.
translate ASL to English: YOU I LIKE,I'd like to meet you.
translate ASL to English: I GO,"If you want, I'll go."
translate ASL to English: WORK RELATIONSHIPS NEED,Successful relationships need work.
translate ASL to English: CITY FAMILY LIVE,His family lives in this city.
translate ASL to English: CITY FAMILY LIVE,Her family lives in this city.
translate ASL to English: HELP I NEED,I need their help.
translate ASL to English: FRANCE WE WANT,We want to go to France.
translate ASL to English: ANYTHING THAT CHANGE,Will that change anything?
translate ASL to English: ANYTHING IT CHANGE,Will it change anything?
translate ASL to English: HAT HE WEAR,He was wearing a white hat.
translate ASL to English: HIMSELF TOM GO,Tom will go to the dance by himself.
translate ASL to English: CHEESE WHO EAT,Who ate all the cheese?
translate ASL to English: ANYTHING YOU EAT,Eat anything you want.
translate ASL to English: WEEKEND WE NEED,We need to finish this job before the weekend.
translate ASL to English: WE GO,We can go to work together.
translate ASL to English: WE WANT,We want to work together.
translate ASL to English: SCHOOL TOM GO,Tom doesn't go to school.
translate ASL to English: ALGERIANS NEED,Algerians need to work harder.
translate ASL to English: THIS PEOPLE DO,People do this all the time.
translate ASL to English: THIS I HAVE,I have no idea how to do this.
translate ASL to English: WHO SHE WORK,Who does she work for?
translate ASL to English: SHIRT MAN WEAR,The man was wearing a flannel shirt.
translate ASL to English: WHAT WE NEED,We need to finish what we've started.
translate ASL to English: DOG GROWL,The dog is growling.
translate ASL to English: WHAT TOM WANT,"What does Tom want, anyway?"
translate ASL to English: WORK THIS START,This is starting to feel like work.
translate ASL to English: MOTHER WHAT HAVE,Tom had to tell his mother what had happened.
translate ASL to English: THAT START,That has started to change.
translate ASL to English: DENTIST I NEED,I need to go to the dentist.
translate ASL to English: EXCUSES WE WANT,We want no excuses.
translate ASL to English: TIME RODEO START,What time does the rodeo start?
translate ASL to English: BED TOM GO,Tom wouldn't go to bed.
translate ASL to English: WINTER FISH SPEND,How do fish spend the winter?
translate ASL to English: PEOPLE WE NEED,How many people do we need to hire?
translate ASL to English: THEM ALL GO,Not all of them will go.
translate ASL to English: SCHOOL TOM SKIP,Tom skipped a year in school.
translate ASL to English: US ALL HELP,Not all of them will help us.
translate ASL to English: HELP YOU LOOK,You look like someone in need of help.
translate ASL to English: HAT TOM HAVE,Tom had a hat on.
translate ASL to English: MAN MARY LOOK,Mary looks like a man.
translate ASL to English: I HAVE,I have nowhere to go now.
translate ASL to English: WHAT I HAVE,I have no idea what to do now.
translate ASL to English: IDEA IT HAVE,I have no idea what time it is.
translate ASL to English: SOMETHING WE LIKE,We'd like to do something to help.
translate ASL to English: PEOPLE LIKE,Not many people would like to go back there.
translate ASL to English: DOG I WANT,I want a purebred dog.
translate ASL to English: IT WE HAVE,We have no choice but to go for it.
translate ASL to English: IT GO,It's not going to work now.
translate ASL to English: ALL IT GO,It didn't go all that well.
translate ASL to English: PLACES NEED,Algerians need new places to go and play.
translate ASL to English: IT HE DO,He'll do it now.
translate ASL to English: HAT TOM WEAR,Tom was wearing a brown hat.
translate ASL to English: WHO WAIT,Who waited?
translate ASL to English: WHO WINK,Who winked?
translate ASL to English: WE NEED,We need to work harder.
translate ASL to English: WHAT TOM HAVE,Tom has to tell Mary what to do.
translate ASL to English: WHAT YOU COOK,I can't cook what you want.
translate ASL to English: WATER FISH DRINK,Do fish drink water?
translate ASL to English: THIS I WORK,I can't work in the dark like this.
translate ASL to English: WHAT YOU ASK,Now you can ask what you want.
translate ASL to English: BASEBALL 'S LET,Let's go play baseball.
translate ASL to English: ALGIERS IT TELL,Can you tell us what it feels like now in Algiers?
translate ASL to English: WHO FORGET,Who can forget that day?
translate ASL to English: HE WANT,He wants to graduate this year.
translate ASL to English: SON WE HAVE,We had a son.
translate ASL to English: SCHOOL CHILDREN GO,Children no longer go to school.
translate ASL to English: RIGHT STATE HAVE,No state has the right to exist.
translate ASL to English: DOG STARVE,The dog is starving.
translate ASL to English: VOLLEYBALL YOU WANT,Do you want to play volleyball?
translate ASL to English: FAMILY I WANT,I want to meet your family someday.
translate ASL to English: MAN PROMISE,The man promised to no longer cheat.
translate ASL to English: I KNOW,I know how to cook.
translate ASL to English: SHE GO,She must go now.
translate ASL to English: YOU WANT,How do you want to pay?
